"group" "id" "x" "y" "phenotype1" "envi" "group_env" "new_group"
"485" 17 360 0.00444745 0.0365303 -0.892514 -0.603427 -0.6 6
"341" 10 361 0.226516 0.963418 -0.194398 0.20019 0.2 22
"279" 8 362 0.60072 0.899297 -0.23123 0.253546 0.3 24
"931" 34 363 0.977615 0.576989 -0.733905 -0.749525 -0.7 5
"29" 2 364 0.519059 0.616617 0.968651 0.997877 1 37
"169" 5 365 0.0061968 0.301665 0.306673 -0.413388 -0.4 12
"743" 28 366 0.460588 0.804304 0.552883 0.671008 0.7 33
"757" 28 367 0.455986 0.783952 -0.068259 0.700869 0.7 33
"270" 8 368 0.594505 0.897797 -0.398996 0.274652 0.3 24
"857" 32 369 0.402723 0.961871 0.113167 0.295951 0.3 28
"913" 34 370 0.983365 0.579744 -0.812773 -0.786884 -0.7 5
"323" 10 371 0.20382 0.987794 -0.00846541 0.204056 0.2 22
"784" 29 372 0.904969 0.487004 0.228241 -0.227101 -0.2 19
"540" 20 373 0.867115 0.799078 0.326529 -0.34654 -0.3 16
"8" 1 374 0.584078 0.707257 0.340492 0.818274 0.8 34
"523" 19 375 0.0115453 0.140359 0.328901 -0.508634 -0.5 8
"87" 3 376 0.465504 0.0254005 0.220755 1.56663 1.6 39
"988" 37 377 0.0527953 0.0101401 0.0220664 -0.484315 -0.5 11
"573" 21 378 0.636249 0.139231 0.867707 0.89328 0.9 36
"348" 10 379 0.233606 0.985004 -0.194662 0.254463 0.2 22
"761" 28 380 0.476095 0.807982 -0.0863467 0.710831 0.7 33
"156" 5 381 0.0119553 0.317978 -0.220106 -0.417505 -0.4 12
"927" 34 382 0.970777 0.580464 -0.655037 -0.718822 -0.7 5
"866" 32 383 0.415044 0.968124 0.0876876 0.290707 0.3 28
"642" 24 384 0.193009 0.244285 -0.535862 -0.81798 -0.8 2
"553" 21 385 0.628345 0.127244 0.906867 0.936352 0.9 36
"795" 30 386 0.877741 0.00164165 -0.418149 -0.518814 -0.6 7
